PhoenixCombined,Just,PhoenixM2L,PhoenixSLHF,RGA,Rothesay,777,USS
12000000,200000,0,0,300000,12000000,6000000,0
12000000,200000,0,0,300000,12000000,6000000,0
12000000,200000,4800000,7200000,300000,12000000,6000000,0
12000000,200000,4800000,7200000,300000,12000000,6000000,0
12000000,200000,4800000,7200000,300000,12000000,4500000,0
12000000,200000,4800000,7200000,300000,12000000,4500000,0
12000000,200000,4800000,7200000,300000,12000000,4500000,0
12000000,200000,4800000,7200000,300000,12000000,4500000,0
13000000,200000,4800000,7200000,300000,12000000,4500000,0
