PhoenixCombined,Just,PhoenixM2L,PhoenixSLHF,RGA,Rothesay,777,USS
12000000,200000,4800000,7200000,300000,12000000,7000000,0
16000000,200000,6400000,9600000,300000,12000000,7000000,0
16000000,200000,6400000,9600000,300000,12000000,4500000,0
16000000,200000,6400000,9600000,300000,12000000,4500000,0
13000000,200000,5200000,7800000,300000,12000000,4500000,0
13000000,200000,5200000,7800000,300000,12000000,4500000,0
13000000,200000,5200000,7800000,300000,12000000,4500000,0
13000000,200000,5200000,7800000,300000,12000000,4500000,0
13000000,200000,5200000,7800000,300000,12000000,4500000,0
