PhoenixCombined,Just,PhoenixM2L,PhoenixSLHF,RGA,Rothesay,777,USS
14000000,200000,5600000,8400000,300000,12000000,7000000,0
14000000,200000,5600000,8400000,300000,12000000,7000000,0
14000000,200000,5600000,8400000,300000,12000000,7000000,0
13000000,200000,5200000,7800000,300000,12000000,7000000,0
13000000,200000,5200000,7800000,300000,12000000,7000000,0
13000000,200000,5200000,7800000,300000,12000000,7000000,0
12000000,200000,4800000,7200000,300000,12000000,7000000,0
12000000,200000,4800000,7200000,300000,12000000,7000000,0
12000000,200000,4800000,7200000,300000,12000000,7000000,0
